H3K27ac hepatocyte_originated_from_H9 3025 26 ENCFF606PZU ENCFF953FGP
H3K4me1 hepatocyte_originated_from_H9 3569 27 ENCFF838FBE ENCFF449GNW
H3K4me3 hepatocyte_originated_from_H9 2816 28 ENCFF735SZZ ENCFF407ERA
H3K27me3 hepatocyte_originated_from_H9 3418 29 ENCFF435FIF ENCFF732JQO
DNASE	foreskin_keratinocyte_male_newborn	183	30	ENCFF971NFK	ENCFF442IPQ
H3K27ac foreskin_keratinocyte_male_newborn 3501 31 ENCFF061ZZS ENCFF113RWB
H3K4me1 foreskin_keratinocyte_male_newborn 1489 32 ENCFF103CRE ENCFF698PDL
H3K4me3 foreskin_keratinocyte_male_newborn 1678 33 ENCFF491HAF ENCFF772HSG
H3K27me3 foreskin_keratinocyte_male_newborn 2281 34 ENCFF011VAN ENCFF286NYV
DNASE	mesendoderm_originated_from_H1-hESC	526	35	ENCFF918FRW	ENCFF476ZZV
H3K27ac mesendoderm_originated_from_H1-hESC 2899 36 ENCFF313DOD ENCFF808YDZ
H3K4me1 mesendoderm_originated_from_H1-hESC 3494 37 ENCFF404GUH ENCFF070HOL
H3K4me3 mesendoderm_originated_from_H1-hESC 2806 38 ENCFF748XLQ ENCFF367ZVN
H3K27me3 mesendoderm_originated_from_H1-hESC 2682 39 ENCFF389GSX ENCFF316BHL
DNASE	H1-hESC	70	40	ENCFF131HMO	ENCFF983UCL
H3K27ac	H1-hESC	732	41	ENCFF423TVA	ENCFF520LUH
H3K4me1	H1-hESC	2291	42	ENCFF593OAZ	ENCFF711NNX
H3K4me3	H1-hESC	1509	43	ENCFF372YWG	ENCFF760ZNE
H3K27me3	H1-hESC	2034	44	ENCFF095OPQ	ENCFF760MIC
DNASE	IMR-90	405	45	ENCFF706WOH	ENCFF800DVI
H3K27ac IMR-90 1452 46 ENCFF663RRL ENCFF805GNH
H3K4me1 IMR-90 4018 47 ENCFF671AIP ENCFF611UWF
H3K4me3 IMR-90 1719 48 ENCFF721URL ENCFF093NQC
H3K27me3 IMR-90 2771 49 ENCFF427IDA ENCFF336IXL
DNASE	foreskin_fibroblast_male_newborn	92	50	ENCFF111BCZ	ENCFF229XJM
H3K27ac foreskin_fibroblast_male_newborn 1789 51 ENCFF421TPV ENCFF931RCC
H3K4me1 foreskin_fibroblast_male_newborn 2502 52 ENCFF972TYZ ENCFF184BXM
H3K4me3 foreskin_fibroblast_male_newborn 1184 53 ENCFF259BDX ENCFF354DSC
H3K27me3 foreskin_fibroblast_male_newborn 2333 54 ENCFF027GWJ ENCFF987CGS
DNASE	neural_stem_progenitor_cell_originated_from_H1-hESC	305	55	ENCFF372SLF	ENCFF732IUC
H3K27ac neural_stem_progenitor_cell_originated_from_H1-hESC 3928 56 ENCFF827WME ENCFF285PPN
H3K4me1 neural_stem_progenitor_cell_originated_from_H1-hESC 2243 57 ENCFF155CCW ENCFF904BDC
H3K4me3 neural_stem_progenitor_cell_originated_from_H1-hESC 4382 58 ENCFF015ZVX ENCFF833GVM
H3K27me3 neural_stem_progenitor_cell_originated_from_H1-hESC 3580 59 ENCFF235KGZ ENCFF153BQX
